"","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$","Domestic private health expenditure (PVT-D) per capita in US$"
"Maldives","161.22","151.20","163.65","173.34","264.71","272.91","228.47","262.63","311.03","325.68","310.53","283.71","283.77","336.16","251.24","251.63","220.03","208.60","161.95","174.41","154.34","146.73"
"Mali","16.45","15.51","17.63","10.92","11.50","10.68","10.81","13.12","11.55","13.37","17.04","18.79","22.65","22.22","19.22","16.18","14.51","12.82","12.17","10.39","9.45","10.16"
"Malta","1188.28","1044.33","1103.31","1005.20","946.76","858.17","878.72","942.91","688.17","652.36","696.91","614.14","588.43","617.21","529.79","464.65","425.94","372.75","323.93","245.85","214.94","182.52"
"Marshall Islands","50.18","46.73","44.89","39.57","37.60","34.71","32.89","32.07","31.45","30.46","29.62","27.97","26.25","26.62","25.08","23.29","22.54","21.33","20.01","19.46","17.99","17.48"
"Mauritania","33.40","30.96","30.65","30.50","29.44","28.81","30.28","31.82","29.51","29.81","30.56","28.79","29.35","31.71","27.46","24.92","23.44","22.63","20.53","18.46","18.26","18.23"
"Mauritius","279.20","275.84","352.95","356.12","329.58","300.30","287.19","296.53","249.88","206.75","211.96","192.69","181.99","199.46","132.89","111.77","99.41","84.22","74.80","61.95","53.14","53.54"
"Mexico","304.05","253.63","280.95","267.30","254.69","240.13","266.80","294.75","291.93","275.80","269.36","268.45","264.96","311.92","314.90","295.05","280.54","253.34","242.18","222.38","206.40","176.29"
"Micronesia (Federated States of)","10.43","10.61","11.00","10.18","10.12","9.50","9.45","9.01","9.63","11.79","12.50","12.73","13.23","12.82","12.91","13.27","13.67","12.12","11.10","10.04","9.57","8.59"
"Monaco","883.87","936.13","1068.77","1033.36","944.86","960.53","1404.94","1649.50","1597.49","1471.80","1564.79","1487.03","1521.22","1615.12","1392.57","1178.35","1115.10","1073.14","917.93","666.02","606.70","592.58"
"Mongolia","107.63","84.74","87.99","85.46","63.07","60.68","64.05","65.29","70.57","56.80","46.77","30.12","18.98","22.89","17.56","14.54","13.19","9.65","7.33","7.66","7.03","6.50"
"Montenegro","382.45","325.11","286.82","294.17","260.55","237.81","231.86","227.44","251.63","193.08","223.42","","","","","","","","","","",""
"Morocco","127.19","107.60","104.09","104.51","99.88","97.60","97.63","113.51","99.58","96.09","102.70","100.42","96.02","92.16","80.52","69.12","71.90","67.99","57.71","45.99","41.27","40.38"
"Mozambique","6.27","5.61","6.25","6.26","5.69","5.34","7.30","7.99","6.85","6.16","2.53","2.22","2.65","2.87","2.53","2.42","2.39","2.30","2.44","2.71","2.23","2.66"
